year,sector,class,cfn_tle1,cfn_tle2,units,magnitude,source,data_value,flag
2010,Local government,Pest Management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,23,F
2011,Local government,Pest Management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,24,F
2012,Local government,Pest Management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,26,F
2013,Local government,Pest Management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,41,F
2014,Local government,Pest Management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,27,F
2015,Local government,Pest Management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,32,F
2016,Local government,Pest Management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,33,F
2017,Local government,Pest Management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,41,F
2018,Local government,Pest Management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,43,R
2019,Local government,Pest Management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,44,P
2020,Local government,Pest Management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,50,P
2009,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,F
2010,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,F
2011,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,F
2012,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,F
2013,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,F
2014,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,F
2015,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,F
2016,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,F
2017,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,F
2018,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,F
2019,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,P
2020,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,P
2009,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,F
2010,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,F
2011,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,F
2012,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,F
2013,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,F
2014,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,F
2015,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,F
2016,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,F
2017,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,F
2018,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,F
2019,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,P
2020,Local government,Pest Management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,P
2009,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.8,F
2010,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.4,F
2011,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.9,F
2012,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.3,F
2013,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.7,F
2014,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3,F
2015,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3,F
2016,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.5,F
2017,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.9,F
2018,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.6,R
2019,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.6,P
2020,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.9,P
2009,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,161,F
2010,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,146,F
2011,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,185,F
2012,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,168,F
2013,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,130,F
2014,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,150,F
2015,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,157,F
2016,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,193,F
2017,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,164,F
2018,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,160,R
2019,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,234,P
2020,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,274,P
2009,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,2.1,F
2010,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.7,F
2011,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.4,F
2012,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.9,F
2013,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.6,F
2014,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.2,F
2015,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.3,F
2016,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.8,R
2017,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.5,F
2018,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.2,F
2019,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.3,P
2020,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.8,P
2009,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,62,F
2010,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,22,F
2011,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,36,F
2012,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,23,F
2013,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,19,F
2014,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,5,F
2015,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,12,F
2016,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,29,F
2017,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,17,F
2018,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,9,F
2019,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,14,P
2020,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,39,P
2009,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,21.1,F
2010,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,18.7,F
2011,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,19.7,F
2012,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,18.4,F
2013,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,20.2,F
2014,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,20.1,F
2015,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,19.4,F
2016,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,19.3,F
2017,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,19.8,F
2018,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,18.8,R
2019,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,19.5,P
2020,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,18.7,P
2009,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,901,F
2010,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,812,F
2011,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,928,F
2012,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,926,F
2013,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,984,F
2014,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,999,F
2015,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1003,F
2016,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1058,F
2017,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1126,F
2018,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1142,R
2019,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1258,P
2020,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1320,P
2009,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,25.7,F
2010,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,21.2,R
2011,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,16,F
2012,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,23.3,F
2013,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,26.3,F
2014,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,23,F
2015,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,26.6,R
2016,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,25.6,R
2017,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,21.8,F
2018,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,22.6,F
2019,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,19.9,P
2020,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,20.5,P
2009,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,750,F
2010,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,676,F
2011,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,414,F
2012,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,586,F
2013,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,879,F
2014,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,734,F
2015,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,899,F
2016,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,880,F
2017,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,771,F
2018,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,813,F
2019,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,844,P
2020,Local government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,961,P
2009,Local government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,4276,F
2010,Local government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,4354,F
2011,Local government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,4701,F
2012,Local government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,5037,F
2013,Local government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,4864,F
2014,Local government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,4959,F
2015,Local government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,5170,F
2016,Local government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,5477,F
2017,Local government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,5701,F
2018,Local government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,6065,R
2019,Local government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,6460,P
2020,Local government,Total,Total,Final consumption expenditure,Dollars,Millions,National Accounts,7059,P
2009,Local government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,2922,R
2010,Local government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,3182,R
2011,Local government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,2590,R
2012,Local government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,2514,F
2013,Local government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,3337,F
2014,Local government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,3189,F
2015,Local government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,3383,R
2016,Local government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,3432,R
2017,Local government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,3534,R
2018,Local government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,3593,R
2019,Local government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,4240,P
2020,Local government,Total,Total,Gross fixed capital formation,Dollars,Millions,National Accounts,4685,P
2009,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,11.6,F
2010,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,11.5,F
2011,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,11.7,F
2012,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,10.4,F
2013,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,12.5,F
2014,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,12.5,F
2015,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,11.3,F
2016,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,10.8,F
2017,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,12.1,F
2018,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,11.4,R
2019,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,11.4,P
2020,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,10.9,P
2009,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,497,F
2010,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,499,F
2011,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,550,F
2012,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,524,F
2013,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,610,F
2014,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,619,F
2015,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,585,F
2016,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,590,F
2017,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,691,F
2018,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,694,R
2019,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,736,P
2020,Local government,Wastewater,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,771,P
2009,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,22.4,F
2010,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,19.6,F
2011,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,12.9,F
2012,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,20.3,F
2013,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,22.3,F
2014,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,21.5,F
2015,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,24.8,R
2016,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,20.8,R
2017,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,19.8,F
2018,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,19,R
2019,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,18.4,P
2020,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,17.6,P
2009,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,655,F
2010,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,625,F
2011,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,334,F
2012,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,510,F
2013,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,744,F
2014,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,685,F
2015,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,839,F
2016,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,714,F
2017,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,700,F
2018,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,683,F
2019,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,780,P
2020,Local government,Wastewater,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,824,P
